Laser Sensor:,True
 
Number of ePucks:,0
Number of obstacles:,11
 
Angular Velocity Noise Hypers:,0.0,0.7,0.5
Linear Velocity Noise Hypers:,0.15,1.0,0.03
egoPuck Max Velocity:,0.3,1.2
Reward Multipliers:,0.01,100.0,3.0,200.0,200.0
 
Checkpoint, Success Ratio, Average Reward, Reward Std Dev, ,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49
200, 0.0, -3823.3841509659, 5710.825321320717,,-199.2667175041747,-1128.510128372367,-13756.684126766504,-199.03105162120764,-84.72737682089168,-13244.532571312217,-198.9700302174305,-199.00854704958573,-7114.974559502324,-198.7295486814793,-198.45598357289177,-199.1589880162905,-198.83067253958612,-198.7560502187213,-81.07848185694363,-200.7357401838005,-6721.796623875886,-198.912964239542,-85.85932868680085,-13636.366251269346,-198.83369317915273,-8036.907458984278,-199.03565429037823,-199.62584596136136,-198.89642397075744,-8410.801576076432,-10123.879241705054,-15712.290409841182,-216.38395402318977,-199.0,-198.87723130292568,-199.02685065040782,-9480.222652598424,-5445.731283751486,-199.43855711747713,-199.67172344847478,-2213.008718665675,-14145.372679465245,-18354.70921486816,-198.95294038872092,-198.9385379540018,-199.02150262057745,-198.79750325191125,-199.09594570879023,-199.0,-109.10813283532515,-4979.792718475527,-199.01785180960383,-18201.392270067914,-14509.991232974582
400, 0.0, -4486.070732977884, 6177.3338289511275,,-200.38548366301748,-11797.882443391596,-2786.9733827396662,-14040.19174250173,-8532.28549909343,-6671.426162835137,-199.49878915366162,-129.60295592119326,-199.0,-6458.32846759181,-81.55408973342209,-197.68610031538748,-112.76237991136853,-17617.477128964896,-111.92502756642729,-17380.85686591338,-199.8778241666348,-5028.757364680595,-198.66383357353652,-4443.5847032831225,-10235.409597514601,-199.56067817401228,-212.31209022700446,-198.25344400249023,-199.41763887253873,-198.77953882026566,-16935.074227682187,-199.00000000000006,-6822.058447735875,-1565.1222691457272,-17272.951442223748,-18912.1991474134,-199.0,-199.0,-827.7275523007293,-1024.8136391657308,-238.68837846600223,-199.63850962320282,-198.46934182514474,-10878.482072227534,-198.90018476231305,-198.87575929837445,-82.93045831379318,-108.23454283971985,-14227.060852910063,-12161.61520885073,-197.58172157942658,-13626.454250129667,-199.61179724987747,-197.59361254001286
600, 0.0, -4014.771030641174, 5702.343623601418,,-199.66020431994943,-199.1546643659873,-199.0,-198.21086814868465,-3214.059194702205,-198.23951802449537,-4986.580158076218,-269.2714979165852,-16961.17738458412,-200.72200867895293,-11447.76478224053,-197.91990383023938,-4860.543578565707,-13426.598021452968,-3524.5900131064686,-92.36661267942881,-91.89053385186355,-196.03371434857755,-242.2686405372827,-200.7464549624052,-11820.355408168967,-87.34851758495857,-6375.772622622961,-11058.120148439399,-103.20651251118417,-86.83902309726163,-3973.976281409554,-14483.956839691145,-80.27125405516388,-19628.283591619027,-13439.571305955538,-188.07669213718918,-199.7296636708262,-5382.027449690486,-198.0308140330881,-90.83146632797683,-198.6972633874212,-13780.65274302851,-4505.43146362684,-8081.735300420557,-18446.91350472751,-197.31287191310776,-4016.363523820147,-84.92564555315789,-199.52098442556405,-199.01595312832498,-198.99999999999994,-198.99999999999997,-2354.6079187213923,-172.1790138987955
800, 0.0, -5779.086364789151, 6626.798010684383,,-198.38688479988167,-80.63365863801427,-18798.408822267433,-199.0186177541042,-522.4754549893661,-11426.697565483806,-12335.569704356783,-198.84438242686915,-199.40792129243042,-11737.463030426898,-531.0718696481837,-10099.321495404438,-4460.473487042607,-14896.56873711158,-202.9888160183043,-7723.648111844224,-4724.3994273227145,-200.72888299524655,-199.00000000000014,-199.14947177128045,-199.17638084120804,-14365.91990802108,-199.0,-199.0,-4245.401015573998,-13687.614364314653,-18997.80308376761,-2922.608216430891,-84.41089322220593,-198.4554490662588,-199.3132407053577,-17865.14916196997,-198.68110797035843,-16605.115444838873,-9246.951514200788,-13287.08643568349,-14942.390088864093,-4728.485794090925,-13610.790579648954,-197.92152787853016,-199.45040749924706,-199.0,-3729.833671435035,-14216.34476211419,-6727.867534449086,-198.7265593393527,-89.25998335275725,-196.49982944500275,-18282.804943139483,-199.0
1000, 0.0, -5032.456789386497, 6279.069595548297,,-85.74411884953706,-199.3003469997947,-199.4910485034425,-198.24731685110876,-198.89493725834726,-2972.576404261055,-199.79306518691277,-16970.455166397005,-198.42854727191408,-163.38681588277274,-197.96747067542964,-199.0,-198.93881484125973,-87.652713841001,-3210.466577478255,-9444.539139347084,-8874.173272798915,-14374.15847539894,-199.0,-5296.665737736729,-3861.594948435092,-199.5701201683818,-198.37524197631294,-198.75996485017072,-199.28668919537108,-81.26930289551726,-199.5787281703379,-13947.346884670284,-11334.080682489079,-15618.537878791592,-86.24731722853542,-15276.167735281293,-10941.520730815608,-93.67610358886829,-13483.255394965454,-199.00000000000003,-9913.44927681913,-9672.962649130759,-782.6758487372674,-13759.388530821207,-4272.086608252348,-869.8440395807696,-18416.68156479453,-199.62748748407265,-198.9477655795003,-107.36781705360659,-199.0029236826557,-11531.25859339798,-18925.43341740063,-13386.965253488986
1200, 0.0, -5314.3328301341835, 6521.041024742441,,-3895.990995624977,-199.39581731785793,-323.6808370670683,-2216.3218407346562,-8676.772382158275,-17327.91285890477,-198.16007201350064,-242.48922043792277,-198.74561660497196,-84.45867684135945,-1535.6044991082545,-19439.166639916148,-5315.408954903932,-198.29275437690637,-15098.53831383214,-4411.854072127305,-11528.628361006979,-1429.9341262625512,-199.1308330044879,-198.68931581879212,-200.3011689156207,-438.44720750462744,-108.15811494436706,-200.36963451207262,-9645.92216301195,-13526.766062294813,-189.61491066862283,-3772.044205816758,-16558.991334942282,-198.5478698452281,-83.59002178374084,-12346.071168319913,-19993.067599220583,-11597.146841714806,-199.56940395530458,-2684.3166867674095,-7495.712084629422,-199.103690073442,-198.99999999999994,-8690.690214923165,-2656.679371833676,-280.932925112328,-3535.118789568409,-14194.276191502066,-19985.397838702585,-5969.125177612755,-199.18500476184337,-17453.31014218834,-199.00000000000006,-197.0094935201662
1400, 0.0, -5111.212838488678, 6212.534435490541,,-198.97760745059443,-15327.024809270182,-13626.010675720248,-112.77605318692757,-12589.230817334328,-3649.1055137858593,-14917.04787690045,-199.0,-15363.862688120757,-5148.345019722108,-222.4821300224773,-6043.399221937197,-197.12265562650495,-8769.832027561863,-198.9810132539911,-198.9468081174826,-2043.7807353061469,-96.99957463422494,-199.13439861405487,-6202.573843369123,-17589.514689141222,-198.93030112824113,-19022.096422498074,-14628.289974680567,-198.99999999999997,-201.1888696697014,-85.08996388625503,-199.7165867112566,-198.5451333573579,-7014.680747108736,-87.91253079764951,-171.87243477562475,-19845.80341370266,-10149.538340724452,-4206.356598715368,-1341.049960595952,-199.42379921683005,-7333.123440641251,-197.8450546332627,-10852.701842745451,-760.6351565329339,-199.42802408709926,-5513.415805599224,-199.09771078463112,-199.0871978144882,-13582.946531693431,-198.04218058936718,-198.2245171779461,-12360.544053297834,-3321.9071721925
1600, 0.0, -5924.358285593164, 6032.3585059936595,,-3371.9977710444887,-122.26999851197176,-11137.924920943928,-3457.654241340548,-11737.5180612579,-198.92693975074872,-8279.076658332506,-87.68209581755795,-11488.969021071805,-3453.8841666010144,-199.0,-197.85823266443356,-199.16133829259067,-199.02668377341806,-12324.370883389249,-7666.5334380655995,-8857.868352252905,-199.7510582319654,-6907.856266411768,-11849.197849693901,-199.0,-12949.35375577214,-16928.588151240732,-8958.012299311766,-18295.069230789853,-2201.059053290631,-199.0,-198.46028295921803,-15168.672725652066,-197.9167856511565,-14082.338005738782,-199.4610390685914,-5439.809072390651,-19098.155948840347,-4370.833302512901,-2573.3522223649975,-197.92787697349416,-201.0217243673558,-150.6366612834073,-199.0507683911767,-5486.105408862902,-6869.547958544535,-12169.688739814655,-15012.555887919349,-4475.148430632992,-199.17476137677693,-16870.635598455567,-199.0,-198.61098728086665,-10993.199622723003
1800, 0.0, -6490.766174562711, 7433.691338709736,,-199.0988128911087,-861.6493521291919,-89.56043484475899,-103.79836584988794,-4895.943605594072,-18682.777270580893,-3546.628525351565,-18596.573355291424,-199.2136065717699,-2052.3864084382662,-12688.784031348492,-17550.827635156642,-80.02602682510528,-703.874215718887,-198.97001223369463,-80.48953688278662,-16776.169038641678,-199.0,-2089.735899735497,-82.54178425330608,-7211.4436417328525,-8875.021157275782,-19910.07774356701,-198.6670955835768,-12064.525573131397,-198.8612069855489,-4528.367344476518,-1274.1895614033406,-13859.59922280399,-199.19434470576005,-17279.125314817575,-86.73018767959793,-88.25208279557042,-15850.027264929033,-199.22275027274608,-19111.209467720342,-198.5088105840523,-16085.075100993712,-18193.17145027567,-198.68743692831913,-17582.3319020882,-199.0307007447885,-14343.072076539462,-653.6748069440473,-6826.951243428913,-13903.57517135654,-197.65126672205454,-15174.392947459324,-198.7184948590837,-170.90544099173832
2000, 0.0, -8144.17812152372, 6888.363501586533,,-198.73109888809148,-16115.236734860151,-100.01636061216944,-199.0,-8526.581133930544,-12385.331648004418,-158.16514764635775,-17948.89958643369,-17865.500749392962,-5622.290701929083,-10167.303647606454,-199.0,-17065.213441615964,-19079.461202724546,-860.8864591860283,-11273.66526407356,-12949.831535804917,-15914.545808028366,-12995.809166490268,-17348.641469870458,-15251.619099052501,-18741.335565329195,-16628.41380308043,-87.13590059205076,-199.61728961860655,-199.2357563360947,-5266.091362474582,-15461.746492639755,-199.20774510019515,-3709.4153413638014,-8252.88797307703,-10599.490055817461,-17881.27910029494,-12974.338656865993,-13373.501922544974,-11011.308143199132,-198.97773070928034,-13773.598376624108,-15611.628666263183,-7925.8482392855185,-106.53854176145289,-5298.260591849059,-199.0,-9739.81097993575,-198.60758115558718,-3721.5699744739686,-106.64150370395704,-199.0,-3119.444066844714,-199.24445909466536
