Sparse reward trial (no distance from anything rewards), action timestep = 0.1
 
Laser Sensor:,True
 
Checkpoint, Success Ratio, Average Reward, Reward Std Dev, ,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Trial 17,Trial 18,Trial 19,Trial 20,Trial 21,Trial 22,Trial 23,Trial 24,Trial 25,Trial 26,Trial 27,Trial 28,Trial 29,Trial 30,Trial 31,Trial 32,Trial 33,Trial 34,Trial 35,Trial 36,Trial 37,Trial 38,Trial 39,Trial 40,Trial 41,Trial 42,Trial 43,Trial 44,Trial 45,Trial 46,Trial 47,Trial 48,Trial 49
250, 0.0, -199.0, 0.0,,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0
500, 0.0, -199.0, 0.0,,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0
750, 0.0, -199.0, 0.0,,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0
1000, 0.0, -199.0, 0.0,,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0
1250, 0.0, -199.0, 0.0,,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0
1500, 0.0, -199.0, 0.0,,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0,-199.0
1750, 0.14, -110.87393983178345, 133.88614081481091,,-201.84970103740486,-188.767778215385,199.72,-95.73724679899087,-105.61246127483864,193.70000000000002,-199.0,-257.9679358890899,-241.42220613460228,-145.50726978410125,-139.3845399434035,-240.14953185723436,-94.2812544546102,-120.12406203378701,-161.64841506703544,-199.0,-189.2651625020505,-185.07975547560753,-146.79369968109242,199.94,199.22,-242.16557681895375,195.65,-280.8153912804596,197.47,-130.06337506625695,-130.8364656153355,-85.77718981250982,-136.7575375471557,-178.4265466943308,-86.81848721801265,-193.71011702176924,-132.89923131414807,-160.51818683375,-112.5172105217083,-109.02116243906902,-127.31247039807167,-82.82310006938104,-144.68982458147966,-155.74648612486473,-98.07420382261068,-98.79300031647767,-195.567790688503,-287.02045574684087,-171.44372474805024,-134.34073941117273,-201.14740334117735,-171.67895880636033,-168.69133520148958,199.85
2000, 0.1, -141.4667171102532, 123.8335450870325,,-149.8268119108252,-132.24402202720526,-96.49721615639072,-181.27989019308927,-173.63744879812762,-160.6976991779478,-88.05254887463545,-112.85476613545599,-219.3025672909887,-208.03238657136973,-199.2244656436744,-151.87246214010335,-149.47139307915484,196.75,-418.84989912285903,-147.23178809685376,-214.02035474129417,193.33999999999997,-127.46328835140343,-196.06445770622614,199.45000000000002,-85.6797795679585,-220.99206060418953,-232.11094827392535,199.79,-174.03925901697278,-199.0,-259.89318067317913,-110.17414696745297,-202.9338860297671,-144.73636047076639,-161.91210083168022,-178.42756060317504,-129.27411527392923,89.74000000000001,-293.14613081579085,-245.88517823376017,-86.575264810989,-105.27251648140742,-305.0022650419564,-253.3725087879146,-130.84938707425914,-165.3287685583966,-241.6129085968555,-107.70521105870236,-156.34590653706974,-87.37541988605136,-229.3182517312944,-192.96935217805435,-125.84992138955644
2250, 0.48, 9.268225713532967, 178.3581295615643,,-150.72466844542285,189.19,199.94,199.45000000000002,-101.78146490583006,193.70000000000002,-147.27214657602093,-134.03190001419395,-243.29670795559102,-120.5878249661031,199.9,173.72,190.1,199.64,195.35,-119.61985094506517,184.6,-110.31449449268987,-124.88554795012566,-210.496264788329,-199.0,-86.96700634629288,190.1,199.79,197.9,199.9,153.44,-222.9084592963292,-121.20115805389386,-199.0,-110.17413691584433,167.6,195.65,199.64,197.47,197.47,-167.00224497585114,-206.3819890177001,-199.0,-199.0,-98.9832732513419,-86.21479811934432,-199.0,182.3,199.45000000000002,-174.6547773073823,191.39000000000001,-199.0,-199.0,196.22
2500, 0.56, 8.02531964873846, 189.53985357788417,,198.79999999999998,-199.0,196.22,-199.0,-199.0,-170.7522799930182,-199.0,199.64,189.19,193.33999999999997,197.24,187.25,64.69999999999999,196.49,186.22,-113.54438726839392,-162.39751959905354,195.04,-110.7560325991952,116.15,-195.57245862824902,112.22,192.59,199.09,14.719999999999999,182.89,-418.36729090582855,118.71999999999998,-153.47460341385082,-233.61354846334984,-136.94631596379563,199.45000000000002,198.95000000000002,-188.34014750935884,197.24,2.990000000000009,-230.29861417801322,189.19,-199.0,-275.0385559024808,-119.65855714083344,-199.0,-120.23581661673951,198.95000000000002,198.95000000000002,-295.2841903418397,-158.25369903907705,192.59,181.08999999999997,177.89000000000001
